City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,26.21,87,59,3.58,ZA,1674293740
1,tasiilaq,65.6145,-37.6368,-14.91,78,95,3.75,GL,1674293740
2,busselton,-33.65,115.3333,30.54,37,0,3.78,AU,1674293741
3,port-gentil,-0.7193,8.7815,28.98,79,20,3.09,GA,1674293742
4,kosiv,48.3107,25.0958,3.55,87,93,0.69,UA,1674293743
5,standerton,-26.9337,29.2415,31.37,10,99,2.5,ZA,1674293743
6,hermanus,-34.4187,19.2345,22.71,66,2,4.59,ZA,1674293745
7,ushuaia,-54.8,-68.3,9.81,87,0,1.54,AR,1674293484
8,hambantota,6.1241,81.1185,23.19,100,75,1.03,LK,1674293747
9,muli,2.9167,73.5667,26.66,71,68,6.42,MV,1674293748
10,blackwater,-23.5833,148.8833,26.04,58,58,6.74,AU,1674293749
11,formiga,-20.4644,-45.4264,18.53,95,86,2.77,BR,1674293749
12,albany,42.6001,-73.9662,-0.18,81,70,1.34,US,1674293428
13,ostrovnoy,68.0531,39.5131,-5.64,91,71,6.61,RU,1674293751
14,lebu,-37.6167,-73.65,12.56,93,9,4.05,CL,1674293751
15,dzitbalche,20.3167,-90.05,19.62,94,97,2.04,MX,1674293752
16,neckargemund,49.3922,8.7942,-1.1,91,99,3.11,DE,1674293753
17,illela,13.7292,5.2975,28.64,11,1,6.8,NG,1674293754
18,camana,-16.6228,-72.7111,21.79,82,90,1.73,PE,1674293754
19,saskylakh,71.9167,114.0833,-38.32,98,85,1.41,RU,1674293755
20,norman wells,65.282,-126.8329,-21.98,77,100,0.0,CA,1674293756
21,bluff,-46.6,168.3333,12.34,62,5,3.09,NZ,1674293757
22,dikson,73.5069,80.5464,-23.87,92,100,14.14,RU,1674293758
23,khatanga,71.9667,102.5,-42.51,99,91,1.23,RU,1674293759
24,tiksi,71.6872,128.8694,-30.76,94,96,1.44,RU,1674293759
25,avarua,-21.2078,-159.775,25.03,88,88,2.57,CK,1674293761
26,severo-kurilsk,50.6789,156.125,-8.76,76,35,7.43,RU,1674293761
27,fortuna,40.5982,-124.1573,4.19,87,0,3.09,US,1674293762
28,rikitea,-23.1203,-134.9692,25.98,74,31,5.58,PF,1674293763
29,castro,-24.7911,-50.0119,16.82,94,69,0.76,BR,1674293764
30,nemuro,43.3236,145.575,-6.31,60,29,5.07,JP,1674293764
31,chokurdakh,70.6333,147.9167,-36.48,99,87,3.12,RU,1674293766
32,kapaa,22.0752,-159.319,26.18,80,100,5.14,US,1674293767
33,najran,17.4924,44.1277,21.36,19,0,2.72,SA,1674293768
